Absolute Value|abs(x)	x
To OLE Variant|error in	error out	x	vt VARTYPE	OLE Variant
To Probe String|error out	probe string	error in	maximum string length	data value
To Quad Integer|64bit integer	number
To Single Precision Complex|single precision complex	number
To Single Precision Float|single precision float	number
To Time Stamp|Time Stamp	number
To Unsigned Byte Integer|unsigned 8bit integer	number
To Unsigned Long Integer|unsigned 32bit integer	number
To Unsigned Quad Integer|unsigned 64bit integer	number
To Unsigned Word Integer|unsigned 16bit integer	number
To Upper Case|all upper case string	string
To Variant|Variant	anything
To Word Integer|16bit integer	number
Transpose 1D Array|transposed array	1D array
Transpose 2D Array|transposed array	2D array
Transpose Matrix|transposed matrix	matrix
Trigger|error out	status	error in	address	bus
TriggerList|error out	status	error in	address list	bus
Two Button Dialog|T button?	F button name ("Cancel")	T button name ("OK")	message
Type and Creator|error out	creator	type	dup path	error in	new creator	new type	path
Type Cast|x	type	*(type *) &x
Type Error|bool const
Type Must Be Array|any
Type Must Be Cluster|any
Type Of|type	any
UDP Close|error out	connection ID out	error in (no error)	connection ID
UDP Multicast Open|error out	port	connection ID	net address	error in (no error)	time-to-live	multicast addr	port
UDP Open|error out	service name	port		net address	error in (no error)
UDP Read|error out	data out	connection ID out	port	address	error in (no error)	timeout ms (25000)	max size (548)	connection ID
UDP Write|error out	connection ID out	port or service name	address	error in (no error)	timeout ms (25000)	data in	connection ID
Unbitpack from Array|data	type	bparray
Unflatten From JSON|JSON string	type and defaults	error in (no error)	path	default null elements? (F)	enable LabVIEW extensions? (T)	strict validation? (F)	value	error out
Unflatten From String|error out	value	rest of the binary string	type	error in (no error)	byte order (0:big-endian, network order)	data includes array or string size? (T)	binary string
Unflatten From XML|error out	value	error in (no error)	type	xml string
Unleak Variant Value Reference|error out	variant value reference out	error in	variant value reference in
Unpackage Matrix|matrix	matrix	array
Unregister For Events|event registration refnum	error in	error out
Unregister Session|error out	error in (no error)	refnum
UTF-8 to Text|error out	text	error in	encoding	utf-8 text
Variant To Data|error in	error out	Variant	type	data
Variant To Flattened String|Variant	type string	data string
VI Library|path
VISA Assert Interrupt Signal|error out	VISA resource name out	error in (no error)	status ID	mode	VISA resource name
VISA Assert Trigger|error out	VISA resource name out	error in (no error)	protocol (default:  0)	VISA resource name
VISA Assert Utility Signal|error out	VISA resource name out	error in (no error)	bus signal	VISA resource name
VISA Clear|error out	VISA resource name out	error in (no error)	VISA resource name
VISA Close|error out	error in (no error)	VISA resource name
VISA Disable Event|error out	VISA resource name out	error in (no error)	mechanism (1:  VI_QUEUE)	event type (all enabled)	VISA resource name
VISA Discard Events|error out	VISA resource name out	error in (no error)	mechanism  (1:  VI_QUEUE)	event type (all enabled)	VISA resource name
VISA Enable Event|error out	VISA resource name out	error in (no error)	mechanism (1:  VI_QUEUE)	event type	VISA resource name
VISA Find Resource|error out	return count	find list	error in (no error)	search mode (0)	expression ("")
VISA Flush I/O Buffer|error out	VISA resource name out	error in (no error)	mask (16)	VISA resource name
VISA GPIB Command|error out	return count	VISA resource name out	error in (no error)	command	VISA resource name
VISA GPIB Control ATN|error out	VISA resource name out	error in (no error)	mode	VISA resource name
VISA GPIB Control REN|error out	VISA resource name out	error in (no error)	mode	VISA resource name
VISA GPIB Pass Control|error out	VISA resource name out	error in (no error)	secondary address (none)	primary address	VISA resource name
VISA GPIB Send IFC|error out	VISA resource name out	error in (no error)	VISA resource name
VISA In 16|error out	value	VISA resource name out	address space (A16:  1)	error in (no error)	offset (0)	VISA resource name
VISA In 32|error out	value	VISA resource name out	address space (A16:  1)	error in (no error)	offset (0)	VISA resource name
VISA In 64|error out	value	VISA resource name out	address space (A16:  1)	error in (no error)	offset (0)	VISA resource name
VISA In 8|error out	value	VISA resource name out	address space (A16:  1)	error in (no error)	offset (0)	VISA resource name
VISA Lock|error out	access key	VISA resource name out	lock type (exclusive:  1)	error in (no error)	requested key	timeout (0)	VISA resource name
VISA Map Address|error out	VISA resource name out	access (False)	address space (A16:  1)	error in (no error)	map size (0)	map base (0)	VISA resource name
VISA Map Trigger|error out	VISA resource name out	mode	error in (no error)	trigger destination	trigger source	VISA resource name
VISA Memory Allocation|error out	offset	VISA resource name out	error in (no error)	size	VISA resource name
VISA Memory Allocation Ex|error out	offset	VISA resource name out	error in (no error)	size	VISA resource name
VISA Memory Free|error out	VISA resource name out	error in (no error)	offset	VISA resource name
VISA Move|VISA resource name	source space (A16:  1)	source width (8)	VISA resource name out	source offset (0)	length	dest offset (0)	error in (no error)	dest space (A16:  1)	dest width (same as source)	error out
VISA Move In 16|error out	data	VISA resource name out	address space (A16:  1)	error in (no error)	count	offset (0)	VISA resource name
VISA Move In 32|error out	data	VISA resource name out	address space (A16:  1)	error in (no error)	count	offset (0)	VISA resource name
VISA Move In 64|error out	data	VISA resource name out	address space (A16:  1)	error in (no error)	count	offset (0)	VISA resource name
VISA Move In 8|error out	data	VISA resource name out	address space (A16:  1)	error in (no error)	count	offset (0)	VISA resource name
VISA Move Out 16|error out	VISA resource name out	address space (A16:  1)	error in (no error)	data	offset (0)	VISA resource name
VISA Move Out 32|error out	VISA resource name out	address space (A16:  1)	error in (no error)	data	offset (0)	VISA resource name
VISA Move Out 64|error out	VISA resource name out	address space (A16:  1)	error in (no error)	data	offset (0)	VISA resource name
VISA Move Out 8|error out	VISA resource name out	address space (A16:  1)	error in (no error)	data	offset (0)	VISA resource name
VISA Open|error out	VISA resource name	timeout (0)	error in (no error)	access mode	duplicate session (F)	VISA resource name
VISA Out 16|error out	VISA resource name out	address space (A16:  1)	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Out 32|error out	VISA resource name out	address space (A16:  1)	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Out 64|error out	VISA resource name out	address space (A16:  1)	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Out 8|error out	VISA resource name out	address space (A16:  1)	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Peek 16|error out	value	VISA resource name out	error in (no error)	offset (0)	VISA resource name
VISA Peek 32|error out	value	VISA resource name out	error in (no error)	offset (0)	VISA resource name
VISA Peek 64|error out	value	VISA resource name out	error in (no error)	offset (0)	VISA resource name
VISA Peek 8|error out	value	VISA resource name out	error in (no error)	offset (0)	VISA resource name
VISA Poke 16|error out	VISA resource name out	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Poke 32|error out	VISA resource name out	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Poke 64|error out	VISA resource name out	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Poke 8|error out	VISA resource name out	error in (no error)	value (0)	offset (0)	VISA resource name
VISA Read|error out	return count	read buffer	VISA resource name out	error in (no error)	byte count	VISA resource name
VISA Read STB|error out	status byte	VISA resource name out	error in (no error)	VISA resource name
VISA Read To File|error out	return count	VISA resource name out	error in (no error)	byte count	filename	VISA resource name
VISA Refnum to Session|session	Visa Refnum
VISA Set I/O Buffer Size|error out	VISA resource name out	error in (no error)	size (4096)	mask (16)	VISA resource name
VISA Status Description|error out	status description	VISA resource name out	error in (no error)	VISA resource name
VISA Unlock|error out	VISA resource name out	error in (no error)	VISA resource name
VISA Unmap Address|error out	VISA resource name out	error in (no error)	VISA resource name
VISA Unmap Trigger|error out	VISA resource name out	error in (no error)	trigger destination (all)	trigger source	VISA resource name
VISA USB Control In|VISA resource name	value (0)	index (0)	VISA resource name out	request type	read buffer	request	length (0)	error in (no error)	error out
VISA USB Control Out|VISA resource name	value (0)	index (0)	VISA resource name out	request type	request	length (0)	error in (no error)	error out
VISA VXI Cmd or Query|error out	response	VISA resource name out	error in (no error)	command	mode (x200: 16-bit cmd)	VISA resource name
VISA Wait on Event|error out	event  resource name	event type	VISA resource name out	timeout (0)	error in (no error)	event  resource name (for class)	event type (all enabled)	VISA resource name
VISA Write|error out	return count	VISA resource name out	error in (no error)	write buffer	VISA resource name
VISA Write From File|error out	return count	VISA resource name out	error in (no error)	count (entire file)	filename	VISA resource name
Volume Info|error out	free	used	size	volume path	error in	path
Wait (ms)|millisecond timer value	milliseconds to wait
Wait For Activity|error out	connection IDs active	listener IDs active	error in (no error)	timeout	connection IDs	listener IDs
Wait For Front Panel Activity|millisecond timer value	timeout ms (-1 never timeout)	front panel (this VI's panel)	do not wait! (False)
Wait for GPIB RQS|error out	poll response byte	error in	timeout ms (488.2 global)	address string
Wait on Notification|notifier	ignore previous (F)	timeout in ms (-1)	error in (no error)	notifier out	notification	timed out?	error out
Wait on Notification from Multiple|notifiers	ignore previous (F)	timeout in ms (-1)	error in (no error)	notifier out	notifiers out	timed out?	error out
Wait on Notification from Multiple with Notifier History|notifiers	ignore previous (F)	timeout in ms (-1)	error in (no error)	notifier out	notifiers out	timed out?	error out
Wait on Notification with Notifier History|notifier	ignore previous (F)	timeout in ms (-1)	error in (no error)	notifier out	notification	timed out?	error out
Wait on Occurrence|timed out	ignore previous (T)	occurrence	ms timeout (-1)
Wait Until Next ms Multiple|millisecond timer value	millisecond multiple
WaitSRQ|bus	error in	SRQ	status	error out
White Space?|space, h/v tab, cr, lf, ff?	char
Write Datalog|error out	refnum out	error in	record(s)	refnum
Write Device|new offset	count	err	spc reset (F)	misc (-)	async (T)	pos offset (-)	pos mode (-)	string	device refnum
Write File|error out	offset	dup refnum	convert eol (F)	data	header (F)	error in	pos offset (0)	pos mode (0:2)	refnum
Write to Binary File|error out	cancelled	refnum out	prepend array or string size? (T)	prompt (Choose or enter file path)	error in	byte order (0:big-endian, network order)	data	file (use dialog)
Write to Text File|error out	cancelled	refnum out	prompt (Choose or enter file path)	error in	text	file (use dialog)
Y-th Root of X|y-th root(x)	x	y
